pair_id,province,year,image_a,image_b,lat_a,lon_a,lat_b,lon_b
settat_182483,Settat,2025,Settat/2025/32.83587_-7.72337_2025_Settat.jpg,,32.835868,-7.723368,,
settat_184272,Settat,2025,Settat/2025/33.00769_-7.51532_2025_Settat.jpg,,33.007686,-7.515315,,
settat_184341,Settat,2025,Settat/2025/33.00069_-7.50775_2025_Settat.jpg,,33.000686,-7.50775,,
settat_184498,Settat,2025,Settat/2025/33.01780_-7.49931_2025_Settat.jpg,,33.017801,-7.499308,,
settat_184705,Settat,2025,Settat/2025/33.03146_-7.47333_2025_Settat.jpg,,33.031458,-7.473334,,
settat_184754,Settat,2025,Settat/2025/33.02995_-7.45336_2025_Settat.jpg,,33.02995,-7.45336,,
settat_189423,Settat,2025,Settat/2025/32.61881_-7.55928_2025_Settat.jpg,,32.618812,-7.559279,,
settat_189600,Settat,2025,Settat/2025/32.63668_-7.55720_2025_Settat.jpg,,32.636684,-7.557201,,
settat_192217,Settat,2025,Settat/2025/32.86828_-7.70291_2025_Settat.jpg,,32.86828,-7.702906,,
settat_194452,Settat,2025,Settat/2025/32.92670_-7.72991_2025_Settat.jpg,,32.926695,-7.729908,,
settat_194644,Settat,2025,Settat/2025/32.93563_-7.73168_2025_Settat.jpg,,32.93563,-7.731679,,
settat_196663,Settat,2025,Settat/2025/32.95748_-7.72073_2025_Settat.jpg,,32.957478,-7.720733,,
settat_197768,Settat,2025,Settat/2025/32.87618_-7.67585_2025_Settat.jpg,,32.876175,-7.675852,,
settat_198725,Settat,2025,Settat/2025/32.87631_-7.61313_2025_Settat.jpg,,32.876306,-7.613132,,
settat_200322,Settat,2025,Settat/2025/32.93132_-7.65024_2025_Settat.jpg,,32.931321,-7.650236,,
settat_203722,Settat,2025,Settat/2025/33.20691_-7.49340_2025_Settat.jpg,,33.206906,-7.4934,,
settat_206596,Settat,2025,Settat/2025/33.04089_-7.52305_2025_Settat.jpg,,33.040888,-7.523048,,
settat_207901,Settat,2025,Settat/2025/33.21345_-7.68874_2025_Settat.jpg,,33.213446,-7.688742,,
settat_208251,Settat,2025,Settat/2025/33.24930_-7.67882_2025_Settat.jpg,,33.249297,-7.678822,,
settat_208570,Settat,2025,Settat/2025/33.24116_-7.67334_2025_Settat.jpg,,33.241162,-7.673341,,
settat_209053,Settat,2025,Settat/2025/33.19434_-7.64707_2025_Settat.jpg,,33.194345,-7.647072,,
settat_209536,Settat,2025,Settat/2025/33.22887_-7.65207_2025_Settat.jpg,,33.228874,-7.65207,,
settat_209662,Settat,2025,Settat/2025/33.23969_-7.64890_2025_Settat.jpg,,33.239688,-7.648896,,
settat_214929,Settat,2025,Settat/2025/33.26371_-7.63281_2025_Settat.jpg,,33.263708,-7.632807,,
settat_215002,Settat,2025,Settat/2025/33.26397_-7.61566_2025_Settat.jpg,,33.263969,-7.615655,,
settat_218871,Settat,2025,Settat/2025/33.09984_-7.66314_2025_Settat.jpg,,33.099841,-7.663144,,
settat_222838,Settat,2025,Settat/2025/33.17098_-7.58164_2025_Settat.jpg,,33.170979,-7.58164,,
settat_223783,Settat,2025,Settat/2025/33.14763_-7.53350_2025_Settat.jpg,,33.147633,-7.533496,,
settat_224538,Settat,2025,Settat/2025/33.17358_-7.51458_2025_Settat.jpg,,33.173584,-7.514578,,
settat_225086,Settat,2025,Settat/2025/33.04890_-7.78084_2025_Settat.jpg,,33.048899,-7.780841,,
settat_225132,Settat,2025,Settat/2025/33.02693_-7.77576_2025_Settat.jpg,,33.026928,-7.775755,,
settat_227544,Settat,2025,Settat/2025/33.07152_-7.66891_2025_Settat.jpg,,33.071518,-7.668906,,
settat_230714,Settat,2025,Settat/2025/33.02969_-7.60939_2025_Settat.jpg,,33.029689,-7.609392,,
settat_234158,Settat,2025,Settat/2025/33.14694_-7.77687_2025_Settat.jpg,,33.146944,-7.776869,,
settat_234778,Settat,2025,Settat/2025/33.16705_-7.74480_2025_Settat.jpg,,33.167054,-7.744803,,
settat_237065,Settat,2025,Settat/2025/33.09083_-7.78521_2025_Settat.jpg,,33.090829,-7.785209,,
settat_238683,Settat,2025,Settat/2025/33.13800_-7.67601_2025_Settat.jpg,,33.137998,-7.676013,,
settat_238895,Settat,2025,Settat/2025/33.15543_-7.67351_2025_Settat.jpg,,33.155431,-7.673509,,
settat_239483,Settat,2025,Settat/2025/33.17349_-7.65047_2025_Settat.jpg,,33.173488,-7.650473,,
settat_240614,Settat,2025,Settat/2025/33.13787_-7.65788_2025_Settat.jpg,,33.137873,-7.657884,,
settat_243481,Settat,2025,Settat/2025/32.96409_-7.58065_2025_Settat.jpg,,32.964088,-7.58065,,
settat_243915,Settat,2025,Settat/2025/32.95185_-7.53122_2025_Settat.jpg,,32.95185,-7.531219,,
settat_246100,Settat,2025,Settat/2025/33.30474_-7.66354_2025_Settat.jpg,,33.304737,-7.663542,,
settat_246459,Settat,2025,Settat/2025/33.31842_-7.63203_2025_Settat.jpg,,33.318419,-7.632033,,
settat_249445,Settat,2025,Settat/2025/33.37873_-7.65005_2025_Settat.jpg,,33.378726,-7.650046,,
settat_249741,Settat,2025,Settat/2025/33.37078_-7.63812_2025_Settat.jpg,,33.370777,-7.638123,,
settat_250061,Settat,2025,Settat/2025/33.18610_-7.52831_2025_Settat.jpg,,33.186099,-7.528306,,
settat_250374,Settat,2025,Settat/2025/33.14393_-7.49976_2025_Settat.jpg,,33.143925,-7.499762,,
settat_250507,Settat,2025,Settat/2025/33.15143_-7.50364_2025_Settat.jpg,,33.151431,-7.503643,,
settat_251423,Settat,2025,Settat/2025/33.11216_-7.58976_2025_Settat.jpg,,33.11216,-7.589759,,
settat_253554,Settat,2025,Settat/2025/33.09553_-7.50517_2025_Settat.jpg,,33.095527,-7.505168,,
settat_257252,Settat,2025,Settat/2025/33.12510_-7.45470_2025_Settat.jpg,,33.125097,-7.4547,,
settat_260698,Settat,2025,Settat/2025/33.21016_-7.77263_2025_Settat.jpg,,33.210156,-7.772631,,
settat_260797,Settat,2025,Settat/2025/33.19501_-7.75491_2025_Settat.jpg,,33.195015,-7.754909,,
settat_262823,Settat,2025,Settat/2025/32.98783_-7.56036_2025_Settat.jpg,,32.987835,-7.560363,,
settat_263059,Settat,2025,Settat/2025/32.99949_-7.52645_2025_Settat.jpg,,32.999486,-7.526446,,
settat_264116,Settat,2025,Settat/2025/33.05743_-7.46576_2025_Settat.jpg,,33.05743,-7.46576,,
settat_264189,Settat,2025,Settat/2025/33.06609_-7.48848_2025_Settat.jpg,,33.066088,-7.488481,,
settat_265122,Settat,2025,Settat/2025/33.05441_-7.48228_2025_Settat.jpg,,33.054408,-7.48228,,
settat_265891,Settat,2025,Settat/2025/33.04399_-7.44409_2025_Settat.jpg,,33.043994,-7.444092,,
settat_267978,Settat,2025,Settat/2025/33.33348_-7.60666_2025_Settat.jpg,,33.333482,-7.60666,,
settat_268460,Settat,2025,Settat/2025/33.49037_-7.54962_2025_Settat.jpg,,33.490369,-7.549617,,
settat_271210,Settat,2025,Settat/2025/33.41291_-7.54785_2025_Settat.jpg,,33.412909,-7.547851,,
settat_277209,Settat,2025,Settat/2025/33.23101_-7.33725_2025_Settat.jpg,,33.231012,-7.337254,,
settat_277416,Settat,2025,Settat/2025/33.24228_-7.33137_2025_Settat.jpg,,33.242281,-7.331374,,
settat_278963,Settat,2025,Settat/2025/33.48377_-7.66332_2025_Settat.jpg,,33.483772,-7.663319,,
settat_278984,Settat,2025,Settat/2025/33.48201_-7.65738_2025_Settat.jpg,,33.482005,-7.657376,,
settat_279127,Settat,2025,Settat/2025/33.48574_-7.66512_2025_Settat.jpg,,33.48574,-7.665115,,
settat_279429,Settat,2025,Settat/2025/33.49995_-7.62754_2025_Settat.jpg,,33.499949,-7.627539,,
settat_279686,Settat,2025,Settat/2025/33.42862_-7.71447_2025_Settat.jpg,,33.428616,-7.714471,,
settat_279796,Settat,2025,Settat/2025/33.44732_-7.63378_2025_Settat.jpg,,33.447324,-7.633782,,
settat_280105,Settat,2025,Settat/2025/33.45258_-7.63761_2025_Settat.jpg,,33.452582,-7.637608,,
settat_283306,Settat,2025,Settat/2025/33.37946_-7.46921_2025_Settat.jpg,,33.379458,-7.469206,,
settat_285006,Settat,2025,Settat/2025/33.21571_-7.60864_2025_Settat.jpg,,33.215711,-7.608639,,
settat_287691,Settat,2025,Settat/2025/33.23547_-7.57634_2025_Settat.jpg,,33.235474,-7.576342,,
settat_290058,Settat,2025,Settat/2025/33.40352_-7.76177_2025_Settat.jpg,,33.403518,-7.761771,,
settat_290117,Settat,2025,Settat/2025/33.40257_-7.73079_2025_Settat.jpg,,33.402566,-7.730791,,
settat_293582,Settat,2025,Settat/2025/33.53830_-7.38054_2025_Settat.jpg,,33.538302,-7.38054,,
settat_297182,Settat,2025,Settat/2025/33.37920_-7.66693_2025_Settat.jpg,,33.3792,-7.666931,,
settat_297604,Settat,2025,Settat/2025/33.36335_-7.59349_2025_Settat.jpg,,33.363347,-7.593491,,
